# time(ISO) elevation(m) distance(km) velocity(km/h)
2015-03-20T07:18:09 1625.300000 4.632158 3.372127
2015-03-20T07:18:30 1625.680000 4.639239 1.213926
2015-03-20T07:18:52 1627.470000 4.646809 1.238718
2015-03-20T07:19:08 1630.760000 4.660509 3.082572
2015-03-20T07:19:23 1633.800000 4.669951 2.266040
2015-03-20T07:19:36 1636.930000 4.678726 2.430038
2015-03-20T07:19:38 1637.360000 4.680410 3.030436
2015-03-20T07:19:48 1639.380000 4.688211 2.808570
2015-03-20T07:20:02 1641.040000 4.696980 2.254826
2015-03-20T07:20:13 1644.150000 4.703771 2.222492
2015-03-20T07:20:29 1646.200000 4.708638 1.095148
2015-03-20T07:20:43 1649.330000 4.716798 2.098220
2015-03-20T07:20:58 1652.450000 4.723629 1.639534
2015-03-20T07:21:14 1655.680000 4.731169 1.696503
2015-03-20T07:21:24 1658.530000 4.736823 2.035477
2015-03-20T07:21:40 1661.940000 4.751919 3.396509
2015-03-20T07:21:53 1664.940000 4.756674 1.316683
2015-03-20T07:22:09 1668.070000 4.767569 2.451483
2015-03-20T07:22:24 1671.180000 4.779050 2.755438
2015-03-20T07:22:31 1672.620000 4.781269 1.140861
2015-03-20T07:22:43 1675.790000 4.789868 2.579925
2015-03-20T07:22:55 1678.800000 4.797509 2.292103
2015-03-20T07:22:57 1678.840000 4.799458 3.509410
